,Unnamed: 0,tender_id,tender_country,tender_year,tender_title,tender_mainCpv,tender_cpvs,tender_procedureType,buyer_id,buyer_name,buyer_city,buyer_country,buyer_postcode,bidder_id,bidder_name,bidder_city,bidder_country,bidder_postcode,bid_price,bid_price_EUR,bid_price_currency,tender_estimatedPrice,tender_estimatedPrice_EUR,tender_estimatedPrice_currency,tender_finalPrice,tender_finalPrice_EUR,tender_finalPrice_currency,tender_indicator_INTEGRITY_ADVERTISEMENT_PERIOD,tender_indicator_INTEGRITY_CALL_FOR_TENDER_PUBLICATION,tender_indicator_INTEGRITY_DECISION_PERIOD,tender_indicator_INTEGRITY_NEW_COMPANY,tender_indicator_INTEGRITY_PROCEDURE_TYPE,tender_indicator_INTEGRITY_SINGLE_BID,tender_indicator_INTEGRITY_TAX_HAVEN,tender_three_Cpvs
32987,37472,18d2d33b-8a8e-410c-ad16-37c4b6735f3b,PL,2017.0,Zakup amunicji kal. 12.,35330000.0,35330000,OPEN,EU_body_65387145f0b24f1cac45806a0bfd6cfd9d25c43b560d20f2695d4a4286894610,Komenda Główna Policji,Warszawa,PL,02-642,EU_body_c14726bb475cd983ff4b73cb5585524a450061343251f9d7f7fb728151440666,Fabryka Amunicji Myśliwskiej Fam-Pionki Sp. z o.o.,Pionki,PL,26-670,,,,,,,537880.0,537880.0,EUR,100.0,0.0,0.0,,100.0,0.0,100.0,353
32988,37473,18d2d33b-8a8e-410c-ad16-37c4b6735f3b,PL,2017.0,Zakup amunicji kal. 12.,35330000.0,35330000,OPEN,EU_body_65387145f0b24f1cac45806a0bfd6cfd9d25c43b560d20f2695d4a4286894610,Komenda Główna Policji,Warszawa,PL,02-642,EU_body_c14726bb475cd983ff4b73cb5585524a450061343251f9d7f7fb728151440666,Fabryka Amunicji Myśliwskiej Fam-Pionki Sp. z o.o.,Pionki,PL,26-670,,,,,,,537880.0,537880.0,EUR,100.0,0.0,0.0,,100.0,0.0,100.0,353
32989,37476,18d2d33b-8a8e-410c-ad16-37c4b6735f3b,PL,2017.0,Zakup amunicji kal. 12.,35330000.0,35330000,OPEN,EU_body_65387145f0b24f1cac45806a0bfd6cfd9d25c43b560d20f2695d4a4286894610,Komenda Główna Policji,Warszawa,PL,02-642,EU_body_d33e433f70165a8f61b7a1757dc2e64e0f1e2841d49921a8c6fb5e34d819144e,Fabryka Amunicji Myśliwskiej Fam-Pionki Sp. z o.o.,Pionki,PL,26-670,,,,,,,537880.0,537880.0,EUR,100.0,0.0,0.0,,100.0,0.0,100.0,353
41023,46452,bff73092-edb7-4669-b4bf-d38e469f3392,PL,2017.0,Zakup amunicji kal. 12.,35330000.0,35330000,OPEN,EU_body_65387145f0b24f1cac45806a0bfd6cfd9d25c43b560d20f2695d4a4286894610,Komenda Główna Policji,Warszawa,PL,02-642,EU_body_c14726bb475cd983ff4b73cb5585524a450061343251f9d7f7fb728151440666,Fabryka Amunicji Myśliwskiej Fam-Pionki Sp. z o.o.,Pionki,PL,26-670,44992.0,44992.0,EUR,,,,420220.0,420220.0,EUR,100.0,0.0,0.0,100.0,100.0,0.0,100.0,353
41024,46453,bff73092-edb7-4669-b4bf-d38e469f3392,PL,2017.0,Zakup amunicji kal. 12.,35330000.0,35330000,OPEN,EU_body_65387145f0b24f1cac45806a0bfd6cfd9d25c43b560d20f2695d4a4286894610,Komenda Główna Policji,Warszawa,PL,02-642,EU_body_c14726bb475cd983ff4b73cb5585524a450061343251f9d7f7fb728151440666,Fabryka Amunicji Myśliwskiej Fam-Pionki Sp. z o.o.,Pionki,PL,26-670,32372.0,32372.0,EUR,,,,420220.0,420220.0,EUR,100.0,0.0,0.0,100.0,100.0,0.0,100.0,353
41025,46454,bff73092-edb7-4669-b4bf-d38e469f3392,PL,2017.0,Zakup amunicji kal. 12.,35330000.0,35330000,OPEN,EU_body_65387145f0b24f1cac45806a0bfd6cfd9d25c43b560d20f2695d4a4286894610,Komenda Główna Policji,Warszawa,PL,02-642,EU_body_c14726bb475cd983ff4b73cb5585524a450061343251f9d7f7fb728151440666,Fabryka Amunicji Myśliwskiej Fam-Pionki Sp. z o.o.,Pionki,PL,26-670,114167.0,114167.0,EUR,,,,420220.0,420220.0,EUR,100.0,0.0,0.0,100.0,100.0,0.0,100.0,353
41026,46455,bff73092-edb7-4669-b4bf-d38e469f3392,PL,2017.0,Zakup amunicji kal. 12.,35330000.0,35330000,OPEN,EU_body_65387145f0b24f1cac45806a0bfd6cfd9d25c43b560d20f2695d4a4286894610,Komenda Główna Policji,Warszawa,PL,02-642,EU_body_c14726bb475cd983ff4b73cb5585524a450061343251f9d7f7fb728151440666,Fabryka Amunicji Myśliwskiej Fam-Pionki Sp. z o.o.,Pionki,PL,26-670,114400.0,114400.0,EUR,,,,420220.0,420220.0,EUR,100.0,0.0,0.0,100.0,100.0,0.0,100.0,353
41027,46456,bff73092-edb7-4669-b4bf-d38e469f3392,PL,2017.0,Zakup amunicji kal. 12.,35330000.0,35330000,OPEN,EU_body_65387145f0b24f1cac45806a0bfd6cfd9d25c43b560d20f2695d4a4286894610,Komenda Główna Policji,Warszawa,PL,02-642,EU_body_c14726bb475cd983ff4b73cb5585524a450061343251f9d7f7fb728151440666,Fabryka Amunicji Myśliwskiej Fam-Pionki Sp. z o.o.,Pionki,PL,26-670,114290.0,114290.0,EUR,,,,420220.0,420220.0,EUR,100.0,0.0,0.0,100.0,100.0,0.0,100.0,353
45052,50866,8fe66a8a-9e00-4c06-ae96-b9d553a5e0a8,PL,2017.0,Dostawa zdalnie sterowanego pojazdu głębinowego.,35512400.0,35512400,OPEN,EU_body_39404925e8f0b681379c241b508eee1c1db41d717e9aade36103e32098f0ffd6,Komenda Portu Wojennego Gdynia,Gdynia,PL,81-103,EU_body_ea79f146bf53ad4cc2d746ef1c5d4420c1521a7c83f0ce3dca0ea15eeb38f2d0,Ocean-Tech Sp. z o.o.,Gdańsk,PL,80-299,161128.0,161128.0,EUR,,,,161128.0,161128.0,EUR,100.0,0.0,0.0,,100.0,0.0,100.0,355
48419,54490,f16e2f9c-ff12-49e6-a2e8-91b86a357b6c,PL,2017.0,Wsparcie techniczne oraz zmiany adaptacyjne Systemu Wymiany Informacji Bezpieczeństwa Żeglugi (SWIBŻ).,35711000.0,35711000,OPEN,EU_body_d5dfbe1cc208d8fd5221550e9436fc66b66916e2a53f6e6c660b0f815ba72ab8,Dyrektor Urzędu Morskiego w Gdyni,Gdynia,PL,81-338,EU_body_3b1b699b506f4fae274280eb1ff8e24472502dd42edc0eb77f4bb225972e1653,Sprint S.A.,Olsztyn,PL,10-062,373595.0,373595.0,EUR,,,,441810.0,441810.0,EUR,100.0,0.0,0.0,,100.0,0.0,100.0,357
51655,58063,237719c9-9881-4816-b5e4-141323771798,PL,2017.0,Dostawa amunicji.,35330000.0,35330000,OPEN,EU_body_65387145f0b24f1cac45806a0bfd6cfd9d25c43b560d20f2695d4a4286894610,Komenda Główna Policji,Warszawa,PL,02-642,EU_body_eaf530395c452669c05169de869931cff9ba9ca06050d9d9d383ca9661a99a78,Mildat Sp. z o.o.,Warszawa,PL,02-822,255317.0,255317.0,EUR,,,,515678.0,515678.0,EUR,100.0,0.0,0.0,,100.0,0.0,100.0,353
51656,58065,237719c9-9881-4816-b5e4-141323771798,PL,2017.0,Dostawa amunicji.,35330000.0,35330000,OPEN,EU_body_65387145f0b24f1cac45806a0bfd6cfd9d25c43b560d20f2695d4a4286894610,Komenda Główna Policji,Warszawa,PL,02-642,EU_body_b32480ab7fb62b1a8a03e6af455ba3d7fe34b2e186bb100bfc578ec2aec5a633,Kaliber Sp. z o.o.,Warszawa,PL,02-781,6884.0,6884.0,EUR,,,,515678.0,515678.0,EUR,100.0,0.0,0.0,,100.0,0.0,100.0,353
51657,58066,237719c9-9881-4816-b5e4-141323771798,PL,2017.0,Dostawa amunicji.,35330000.0,35330000,OPEN,EU_body_65387145f0b24f1cac45806a0bfd6cfd9d25c43b560d20f2695d4a4286894610,Komenda Główna Policji,Warszawa,PL,02-642,EU_body_029ce51d6fee8d2d8eba11e17d23fa7038cc938c138fb5087ba7b3d738a61887,Towarzystwo Handlu Zagranicznego INCORSA Sp. z o.o.,Warszawa,PL,02-954,11318.0,11318.0,EUR,,,,515678.0,515678.0,EUR,100.0,0.0,0.0,,100.0,0.0,100.0,353
51658,58067,237719c9-9881-4816-b5e4-141323771798,PL,2017.0,Dostawa amunicji.,35330000.0,35330000,OPEN,EU_body_65387145f0b24f1cac45806a0bfd6cfd9d25c43b560d20f2695d4a4286894610,Komenda Główna Policji,Warszawa,PL,02-642,EU_body_029ce51d6fee8d2d8eba11e17d23fa7038cc938c138fb5087ba7b3d738a61887,Towarzystwo Handlu Zagranicznego INCORSA Sp. z o.o.,Warszawa,PL,02-954,171677.0,171677.0,EUR,,,,515678.0,515678.0,EUR,100.0,0.0,0.0,,100.0,0.0,100.0,353
51659,58068,237719c9-9881-4816-b5e4-141323771798,PL,2017.0,Dostawa amunicji.,35330000.0,35330000,OPEN,EU_body_65387145f0b24f1cac45806a0bfd6cfd9d25c43b560d20f2695d4a4286894610,Komenda Główna Policji,Warszawa,PL,02-642,EU_body_029ce51d6fee8d2d8eba11e17d23fa7038cc938c138fb5087ba7b3d738a61887,Towarzystwo Handlu Zagranicznego INCORSA Sp. z o.o.,Warszawa,PL,02-954,46539.0,46539.0,EUR,,,,515678.0,515678.0,EUR,100.0,0.0,0.0,,100.0,0.0,100.0,353
51660,58069,237719c9-9881-4816-b5e4-141323771798,PL,2017.0,Dostawa amunicji.,35330000.0,35330000,OPEN,EU_body_65387145f0b24f1cac45806a0bfd6cfd9d25c43b560d20f2695d4a4286894610,Komenda Główna Policji,Warszawa,PL,02-642,EU_body_b32480ab7fb62b1a8a03e6af455ba3d7fe34b2e186bb100bfc578ec2aec5a633,Kaliber Sp. z o.o.,Warszawa,PL,02-781,23942.0,23942.0,EUR,,,,515678.0,515678.0,EUR,100.0,0.0,0.0,,100.0,0.0,100.0,353
57942,65098,6d1c29fd-db1c-472d-9aef-1c8cc59d877b,PL,2017.0,Dostawa części zamiennych do KTO Rosomak.,35420000.0,35420000,OPEN,EU_body_6163592132660133dbbd8481120b91aa0118b0258a281ab537fda91b858e7384,3 Regionalna Baza Logistyczna,Kraków,PL,30-901,EU_body_df50c31c2ab161c7cd2263e5c7632aa7846ff3cb1ce0e1138edb6b6fe701f6e4,Rosomak Spółka Akcyjna,Siemianowice Śląskie,PL,41-100,260433.0,260433.0,EUR,,,,162245.0,162245.0,EUR,100.0,0.0,0.0,,100.0,0.0,100.0,354
58437,65657,5ac2ef6d-471b-4fca-8f78-e196fb0f0e8f,PL,2017.0,„Zakup amunicji pistoletowej”.,35330000.0,35330000,OPEN,EU_body_3bbf8a3d47eccf1f5f951a3ece307714b47f1f7e14c370b7f014c3e4b0f2ae50,Komenda Główna Policji,Warszawa,PL,02-624,EU_body_12184a9fbdc063fa9715ecbd7883095862e30bf5edfe3f899f500837eff63ac2,CENZIN Sp. z o.o.,Warszawa,PL,00-957,8357481.0,8357481.0,EUR,,,,1841565.0,1841565.0,EUR,100.0,0.0,0.0,100.0,100.0,0.0,100.0,353
58438,65659,5ac2ef6d-471b-4fca-8f78-e196fb0f0e8f,PL,2017.0,„Zakup amunicji pistoletowej”.,35330000.0,35330000,OPEN,EU_body_3bbf8a3d47eccf1f5f951a3ece307714b47f1f7e14c370b7f014c3e4b0f2ae50,Komenda Główna Policji,Warszawa,PL,02-624,EU_body_12184a9fbdc063fa9715ecbd7883095862e30bf5edfe3f899f500837eff63ac2,CENZIN Sp. z o.o.,Warszawa,PL,00-957,271421.0,271421.0,EUR,,,,1841565.0,1841565.0,EUR,100.0,0.0,0.0,100.0,100.0,0.0,100.0,353
58439,65660,5ac2ef6d-471b-4fca-8f78-e196fb0f0e8f,PL,2017.0,„Zakup amunicji pistoletowej”.,35330000.0,35330000,OPEN,EU_body_3bbf8a3d47eccf1f5f951a3ece307714b47f1f7e14c370b7f014c3e4b0f2ae50,Komenda Główna Policji,Warszawa,PL,02-624,EU_body_12184a9fbdc063fa9715ecbd7883095862e30bf5edfe3f899f500837eff63ac2,CENZIN Sp. z o.o.,Warszawa,PL,00-957,135300.0,135300.0,EUR,,,,1841565.0,1841565.0,EUR,100.0,0.0,0.0,100.0,100.0,0.0,100.0,353
61915,69684,e55fba8d-11c6-4d7a-b261-d29191590926,PL,2017.0,Dostawa amunicji i granatów na potrzeby ABW.,35300000.0,35300000,OPEN,EU_body_1a5473b458e68b77928782cdc302aad9ee4c25165f254b494fb29b8ef0b17277,Agencja Bezpieczeństwa Wewnętrznego Biuro Logistyki,Warszawa,PL,00-993,EU_body_12184a9fbdc063fa9715ecbd7883095862e30bf5edfe3f899f500837eff63ac2,CENZIN Sp. z o.o.,Warszawa,PL,00-957,,,,,,,183933.0,183933.0,EUR,100.0,0.0,0.0,,100.0,0.0,100.0,353
61916,69685,e55fba8d-11c6-4d7a-b261-d29191590926,PL,2017.0,Dostawa amunicji i granatów na potrzeby ABW.,35300000.0,35300000,OPEN,EU_body_1a5473b458e68b77928782cdc302aad9ee4c25165f254b494fb29b8ef0b17277,Agencja Bezpieczeństwa Wewnętrznego Biuro Logistyki,Warszawa,PL,00-993,EU_body_12184a9fbdc063fa9715ecbd7883095862e30bf5edfe3f899f500837eff63ac2,CENZIN Sp. z o.o.,Warszawa,PL,00-957,,,,,,,183933.0,183933.0,EUR,100.0,0.0,0.0,,100.0,0.0,100.0,353
61917,69687,e55fba8d-11c6-4d7a-b261-d29191590926,PL,2017.0,Dostawa amunicji i granatów na potrzeby ABW.,35300000.0,35300000,OPEN,EU_body_1a5473b458e68b77928782cdc302aad9ee4c25165f254b494fb29b8ef0b17277,Agencja Bezpieczeństwa Wewnętrznego Biuro Logistyki,Warszawa,PL,00-993,EU_body_8a62d089c2a61398748c05f849e001ce63a9efd59bf29ee0a7b6afb7cae6e810,IMS-GRIFFIN Sp. z o.o.,Warszawa,PL,00-609,,,,,,,183933.0,183933.0,EUR,100.0,0.0,0.0,,100.0,0.0,100.0,353
61918,69688,e55fba8d-11c6-4d7a-b261-d29191590926,PL,2017.0,Dostawa amunicji i granatów na potrzeby ABW.,35300000.0,35300000,OPEN,EU_body_1a5473b458e68b77928782cdc302aad9ee4c25165f254b494fb29b8ef0b17277,Agencja Bezpieczeństwa Wewnętrznego Biuro Logistyki,Warszawa,PL,00-993,EU_body_12184a9fbdc063fa9715ecbd7883095862e30bf5edfe3f899f500837eff63ac2,CENZIN Sp. z o.o.,Warszawa,PL,00-957,,,,,,,183933.0,183933.0,EUR,100.0,0.0,0.0,,100.0,0.0,100.0,353
61919,69689,e55fba8d-11c6-4d7a-b261-d29191590926,PL,2017.0,Dostawa amunicji i granatów na potrzeby ABW.,35300000.0,35300000,OPEN,EU_body_1a5473b458e68b77928782cdc302aad9ee4c25165f254b494fb29b8ef0b17277,Agencja Bezpieczeństwa Wewnętrznego Biuro Logistyki,Warszawa,PL,00-993,EU_body_12184a9fbdc063fa9715ecbd7883095862e30bf5edfe3f899f500837eff63ac2,CENZIN Sp. z o.o.,Warszawa,PL,00-957,,,,,,,183933.0,183933.0,EUR,100.0,0.0,0.0,,100.0,0.0,100.0,353
61920,69690,e55fba8d-11c6-4d7a-b261-d29191590926,PL,2017.0,Dostawa amunicji i granatów na potrzeby ABW.,35300000.0,35300000,OPEN,EU_body_1a5473b458e68b77928782cdc302aad9ee4c25165f254b494fb29b8ef0b17277,Agencja Bezpieczeństwa Wewnętrznego Biuro Logistyki,Warszawa,PL,00-993,EU_body_c14726bb475cd983ff4b73cb5585524a450061343251f9d7f7fb728151440666,Fabryka Amunicji Myśliwskiej Fam-Pionki Sp. z o.o.,Pionki,PL,26-670,,,,,,,183933.0,183933.0,EUR,100.0,0.0,0.0,,100.0,0.0,100.0,353
61921,69691,e55fba8d-11c6-4d7a-b261-d29191590926,PL,2017.0,Dostawa amunicji i granatów na potrzeby ABW.,35300000.0,35300000,OPEN,EU_body_1a5473b458e68b77928782cdc302aad9ee4c25165f254b494fb29b8ef0b17277,Agencja Bezpieczeństwa Wewnętrznego Biuro Logistyki,Warszawa,PL,00-993,EU_body_c14726bb475cd983ff4b73cb5585524a450061343251f9d7f7fb728151440666,Fabryka Amunicji Myśliwskiej Fam-Pionki Sp. z o.o.,Pionki,PL,26-670,,,,,,,183933.0,183933.0,EUR,100.0,0.0,0.0,,100.0,0.0,100.0,353
61922,69692,e55fba8d-11c6-4d7a-b261-d29191590926,PL,2017.0,Dostawa amunicji i granatów na potrzeby ABW.,35300000.0,35300000,OPEN,EU_body_1a5473b458e68b77928782cdc302aad9ee4c25165f254b494fb29b8ef0b17277,Agencja Bezpieczeństwa Wewnętrznego Biuro Logistyki,Warszawa,PL,00-993,EU_body_b0e49075523138e893806b40a6c1baed6d04da47cd599d8eaf56c7231482d74c,UMO Sp. z o.o.,Zielonka,PL,05-220,,,,,,,183933.0,183933.0,EUR,100.0,0.0,0.0,,100.0,0.0,100.0,353
61923,69694,e55fba8d-11c6-4d7a-b261-d29191590926,PL,2017.0,Dostawa amunicji i granatów na potrzeby ABW.,35300000.0,35300000,OPEN,EU_body_1a5473b458e68b77928782cdc302aad9ee4c25165f254b494fb29b8ef0b17277,Agencja Bezpieczeństwa Wewnętrznego Biuro Logistyki,Warszawa,PL,00-993,EU_body_41e1ba23082fff5208cb249bb7f1c25cd6f4263d6e6fd24f64cc7c2f1ea595f7,Towarzystwo Handlu Zagranicznego INCORSA Sp. z o. o.,Warszawa,PL,02-954,,,,,,,183933.0,183933.0,EUR,100.0,0.0,0.0,,100.0,0.0,100.0,353
